city,terrain,rider,traffic sign,license plate,road,sidewalk,vegetation,out of roi,building,pole,static,sky,person,bicycle,ego vehicle,car,cargroup,ground,wall,dynamic,fence,traffic light,motorcycle,bicyclegroup,persongroup,parking,bus,bridge,trailer,polegroup,tunnel,caravan,truck,guard rail,rectification border,rail track,train,motorcyclegroup,ridergroup,truckgroup
aachen,4.0,1.0,11.0,3.0,1.0,2.0,5.0,1,2.0,20.0,13.0,1.0,2.0,2.0,1,11.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,11.0,,12.0,7.0,2.0,5.0,10.0,1,2.0,26.0,34.0,1.0,,,1,15.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
aachen,3.0,,23.0,4.0,1.0,2.0,1.0,1,3.0,20.0,11.0,1.0,1.0,1.0,1,7.0,1.0,2.0,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,
aachen,2.0,,8.0,5.0,1.0,3.0,,1,2.0,5.0,5.0,1.0,1.0,,1,10.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,17.0,12.0,1.0,5.0,2.0,1,2.0,21.0,20.0,1.0,7.0,1.0,1,15.0,3.0,1.0,,,1.0,7.0,2.0,1.0,,,,,,,,,,,,,,,,
aachen,,1.0,18.0,8.0,1.0,5.0,1.0,1,1.0,26.0,23.0,1.0,11.0,,1,15.0,,1.0,1.0,,1.0,11.0,3.0,,,,,,,,,,,,,,,,,
aachen,13.0,,5.0,12.0,1.0,1.0,1.0,1,12.0,32.0,16.0,1.0,3.0,,1,21.0,,,1.0,,1.0,7.0,,,1.0,1.0,,,,,,,,,,,,,,
aachen,,,7.0,1.0,1.0,2.0,4.0,1,1.0,15.0,4.0,1.0,,,1,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
aachen,2.0,1.0,7.0,1.0,1.0,2.0,8.0,1,1.0,39.0,14.0,1.0,10.0,,1,5.0,,1.0,1.0,,,7.0,2.0,,,,,,,,,,,,,,,,,
aachen,,,1.0,3.0,1.0,2.0,3.0,1,2.0,19.0,4.0,2.0,5.0,,1,9.0,1.0,2.0,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
aachen,1.0,1.0,9.0,5.0,1.0,4.0,3.0,1,2.0,23.0,21.0,2.0,5.0,4.0,1,22.0,,1.0,,,1.0,14.0,1.0,1.0,,,,,,,,,,,,,,,,
aachen,4.0,,7.0,6.0,1.0,2.0,3.0,1,3.0,16.0,18.0,1.0,15.0,3.0,1,11.0,,,,1.0,,11.0,,,,2.0,1.0,,,,,,,,,,,,,
aachen,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1,2.0,16.0,12.0,1.0,22.0,1.0,1,10.0,1.0,,,,,11.0,,,1.0,,4.0,,,,,,,,,,,,,
aachen,3.0,1.0,4.0,7.0,1.0,1.0,5.0,1,2.0,14.0,4.0,1.0,9.0,2.0,1,21.0,,1.0,1.0,1.0,,6.0,,,,1.0,,,,,,,,,,,,,,
aachen,4.0,1.0,7.0,3.0,1.0,5.0,8.0,1,1.0,13.0,13.0,1.0,21.0,1.0,1,8.0,,1.0,1.0,,1.0,10.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
aachen,,,17.0,3.0,1.0,2.0,3.0,1,1.0,19.0,9.0,1.0,23.0,3.0,1,12.0,,,,5.0,,10.0,,,,2.0,,,1.0,,,,,,,,,,,
aachen,,1.0,10.0,2.0,1.0,2.0,2.0,1,4.0,25.0,16.0,1.0,41.0,1.0,1,5.0,,,,1.0,,9.0,1.0,,,,1.0,,,,,,,,,,,,,
aachen,2.0,,4.0,1.0,1.0,2.0,3.0,1,1.0,34.0,11.0,1.0,18.0,2.0,1,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
aachen,,2.0,10.0,1.0,1.0,2.0,6.0,1,1.0,25.0,10.0,1.0,27.0,2.0,1,1.0,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,
aachen,,,9.0,1.0,1.0,1.0,6.0,1,2.0,8.0,21.0,1.0,36.0,3.0,1,1.0,,2.0,1.0,2.0,,,,,6.0,,,,,,,,,,,,,,,
aachen,,,11.0,2.0,,1.0,3.0,1,2.0,8.0,8.0,,12.0,1.0,1,6.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,
aachen,,,23.0,5.0,1.0,2.0,3.0,1,2.0,11.0,23.0,1.0,21.0,3.0,1,8.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
aachen,,,2.0,1.0,,1.0,,1,1.0,1.0,5.0,,13.0,1.0,1,5.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
aachen,,,7.0,1.0,1.0,2.0,1.0,1,1.0,2.0,4.0,1.0,7.0,,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,,,7.0,3.0,,1.0,,1,1.0,3.0,6.0,,3.0,,1,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
aachen,2.0,,23.0,3.0,1.0,6.0,6.0,1,3.0,17.0,9.0,1.0,1.0,,1,14.0,,,,,,5.0,,,,2.0,,,,,,,,,,,,,,
aachen,1.0,,9.0,10.0,1.0,3.0,16.0,1,5.0,19.0,11.0,1.0,6.0,3.0,1,17.0,,3.0,,,1.0,7.0,,,,2.0,2.0,,,,,,,,,,,,,
aachen,2.0,,1.0,4.0,1.0,2.0,6.0,1,3.0,5.0,7.0,1.0,2.0,3.0,1,21.0,,2.0,1.0,1.0,,2.0,,,,2.0,2.0,,,,,,,,,,,,,
aachen,1.0,,5.0,7.0,1.0,2.0,3.0,1,6.0,14.0,10.0,1.0,,1.0,1,9.0,,2.0,,,1.0,7.0,,,,2.0,2.0,,,,,,,,,,,,,
aachen,2.0,1.0,15.0,5.0,1.0,3.0,2.0,1,3.0,26.0,10.0,1.0,12.0,5.0,1,15.0,,,,2.0,,7.0,,,,,,,,,,,,,,,,,,
aachen,2.0,,6.0,6.0,1.0,3.0,1.0,1,4.0,16.0,4.0,1.0,2.0,,1,14.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
aachen,3.0,2.0,2.0,,1.0,3.0,2.0,1,2.0,21.0,7.0,1.0,14.0,2.0,1,,,,4.0,1.0,1.0,4.0,,1.0,2.0,,1.0,,,,,,,,,,,,,
aachen,3.0,,3.0,,1.0,2.0,6.0,1,1.0,21.0,21.0,1.0,6.0,1.0,1,4.0,2.0,,3.0,5.0,3.0,,,3.0,1.0,,,,,,,,,,,,,,,
aachen,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1,1.0,13.0,11.0,1.0,8.0,5.0,1,10.0,2.0,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,
aachen,3.0,1.0,2.0,3.0,1.0,1.0,6.0,1,2.0,5.0,11.0,2.0,,1.0,1,28.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,
aachen,1.0,2.0,10.0,4.0,1.0,3.0,4.0,1,1.0,14.0,7.0,1.0,1.0,2.0,1,4.0,1.0,,1.0,,1.0,12.0,,,,,,,,,,,,,,,,,,
aachen,,1.0,4.0,4.0,1.0,2.0,3.0,1,1.0,10.0,6.0,1.0,3.0,1.0,1,4.0,,,,,,7.0,,1.0,,,,,,,,,,,,,,,,
aachen,,,2.0,2.0,1.0,2.0,1.0,1,1.0,19.0,3.0,1.0,,2.0,1,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
aachen,,,1.0,1.0,1.0,3.0,,1,2.0,2.0,5.0,,2.0,1.0,1,4.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,
aachen,,,3.0,1.0,1.0,2.0,,1,1.0,1.0,1.0,,2.0,,1,3.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,
aachen,1.0,,,3.0,1.0,2.0,1.0,1,2.0,3.0,8.0,1.0,5.0,2.0,1,14.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
aachen,6.0,,20.0,5.0,1.0,5.0,6.0,1,2.0,20.0,12.0,1.0,10.0,2.0,1,8.0,2.0,,,4.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,
aachen,4.0,1.0,14.0,3.0,1.0,2.0,5.0,1,3.0,18.0,23.0,1.0,22.0,2.0,1,5.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
aachen,1.0,,4.0,4.0,1.0,2.0,4.0,1,3.0,8.0,6.0,1.0,,,1,14.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
aachen,3.0,,12.0,4.0,1.0,2.0,6.0,1,5.0,8.0,5.0,1.0,,,1,11.0,,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,,
aachen,2.0,,7.0,2.0,1.0,4.0,4.0,1,2.0,7.0,5.0,1.0,12.0,,1,1.0,,,1.0,3.0,,5.0,1.0,,,,,,,,,,,,,,,,,
aachen,2.0,,4.0,3.0,1.0,4.0,2.0,1,5.0,13.0,8.0,,12.0,2.0,1,7.0,,2.0,,,,12.0,,,,1.0,,,,,,,,,,,,,,
aachen,5.0,,11.0,17.0,1.0,2.0,8.0,1,9.0,8.0,7.0,1.0,5.0,2.0,1,18.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
aachen,5.0,,18.0,4.0,1.0,3.0,5.0,1,1.0,8.0,25.0,2.0,21.0,2.0,1,11.0,,,,10.0,,,,2.0,,2.0,,,,,,,,,,,,,,
aachen,,,8.0,7.0,1.0,3.0,1.0,1,3.0,7.0,10.0,1.0,9.0,,1,16.0,,,,4.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,
aachen,1.0,,8.0,8.0,1.0,5.0,4.0,1,3.0,18.0,18.0,1.0,11.0,2.0,1,13.0,1.0,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,
aachen,1.0,,6.0,,1.0,2.0,4.0,1,2.0,31.0,6.0,1.0,4.0,1.0,1,5.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,
aachen,2.0,2.0,7.0,9.0,1.0,2.0,4.0,1,2.0,34.0,20.0,1.0,3.0,1.0,1,17.0,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,
aachen,3.0,1.0,3.0,5.0,1.0,2.0,4.0,1,2.0,24.0,9.0,1.0,3.0,1.0,1,15.0,,,,,1.0,12.0,1.0,,,,,,,,1.0,,,,,,,,,
aachen,2.0,1.0,3.0,6.0,1.0,2.0,6.0,1,8.0,20.0,13.0,1.0,5.0,,1,11.0,,1.0,,,,12.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,3.0,2.0,1.0,4.0,3.0,1,,3.0,3.0,1.0,3.0,,1,3.0,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,
aachen,1.0,,3.0,2.0,1.0,2.0,2.0,1,1.0,14.0,6.0,1.0,2.0,,1,7.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,
aachen,2.0,,5.0,6.0,1.0,2.0,4.0,1,1.0,5.0,2.0,2.0,2.0,,1,9.0,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
aachen,1.0,,3.0,9.0,1.0,3.0,4.0,1,2.0,12.0,7.0,1.0,2.0,,1,18.0,2.0,1.0,,,,11.0,,,,2.0,,1.0,,,,,,,,,,,,
aachen,1.0,,5.0,4.0,2.0,2.0,2.0,1,4.0,12.0,14.0,1.0,7.0,2.0,1,17.0,4.0,,,,1.0,7.0,,1.0,,,,,,,,,,,,,,,,
aachen,22.0,,5.0,10.0,3.0,4.0,5.0,1,5.0,7.0,12.0,1.0,,,1,39.0,3.0,,,,,,2.0,,,3.0,,,,,,,,,,,,,,
aachen,2.0,,5.0,14.0,1.0,3.0,3.0,1,2.0,17.0,4.0,1.0,,3.0,1,57.0,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,
aachen,1.0,1.0,9.0,3.0,2.0,7.0,7.0,1,2.0,7.0,9.0,1.0,3.0,3.0,1,13.0,,1.0,,,1.0,,1.0,,,1.0,4.0,,,,,,,,,,,,,
aachen,1.0,,9.0,1.0,1.0,3.0,4.0,1,2.0,16.0,11.0,1.0,6.0,,1,6.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
aachen,1.0,1.0,9.0,2.0,1.0,4.0,6.0,1,1.0,18.0,15.0,1.0,10.0,2.0,1,15.0,3.0,,,,1.0,6.0,,,,2.0,,,,,,,,,,,,,,
aachen,2.0,,11.0,2.0,1.0,4.0,6.0,1,2.0,24.0,19.0,1.0,8.0,4.0,1,14.0,1.0,,1.0,1.0,1.0,7.0,1.0,,,2.0,,,,,,,,,,,,,,
aachen,3.0,,3.0,4.0,1.0,3.0,10.0,1,1.0,8.0,12.0,1.0,6.0,4.0,1,27.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
aachen,5.0,,7.0,6.0,1.0,5.0,7.0,1,3.0,20.0,11.0,1.0,3.0,2.0,1,29.0,,,,,,7.0,,,,3.0,,,,,,,,,,,,,,
aachen,3.0,,11.0,3.0,1.0,4.0,4.0,1,3.0,22.0,9.0,2.0,1.0,,1,9.0,,1.0,2.0,,1.0,11.0,,,,,,,,,,,,,,,,,,
aachen,2.0,,10.0,2.0,1.0,4.0,6.0,1,2.0,15.0,13.0,3.0,3.0,4.0,1,6.0,,,,,,7.0,1.0,,,2.0,1.0,,,,,,,,,,,,,
aachen,,,8.0,3.0,2.0,2.0,2.0,1,7.0,13.0,11.0,1.0,17.0,,1,9.0,,,,1.0,,4.0,,2.0,2.0,,1.0,,,1.0,,,,,,,,,,
aachen,,,10.0,3.0,1.0,2.0,3.0,1,4.0,16.0,8.0,1.0,26.0,4.0,1,8.0,,,1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,
aachen,,,9.0,5.0,1.0,5.0,4.0,1,4.0,8.0,7.0,1.0,4.0,1.0,1,8.0,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,
aachen,1.0,,10.0,4.0,2.0,1.0,13.0,1,2.0,22.0,9.0,1.0,3.0,,1,11.0,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,
aachen,,1.0,,4.0,1.0,2.0,3.0,1,1.0,3.0,8.0,,4.0,3.0,1,7.0,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,
aachen,,,7.0,2.0,2.0,2.0,7.0,1,4.0,15.0,24.0,1.0,1.0,1.0,1,10.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
aachen,,,6.0,1.0,1.0,3.0,8.0,1,2.0,5.0,12.0,1.0,1.0,,1,15.0,,,,,,,,,,,,,,,,,,,,,,,,
aachen,,,,1.0,1.0,2.0,1.0,1,4.0,18.0,6.0,1.0,4.0,,1,13.0,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,
aachen,,,7.0,6.0,2.0,2.0,4.0,1,6.0,8.0,4.0,2.0,,,1,12.0,,,,2.0,3.0,,,,,,,,,,,,1.0,,,,,,,
aachen,,,2.0,7.0,3.0,2.0,,1,3.0,30.0,6.0,1.0,,,1,17.0,,,,1.0,,9.0,,,,,,,,,,,,,,,,,,
aachen,,,17.0,6.0,1.0,5.0,2.0,1,9.0,16.0,15.0,3.0,5.0,8.0,1,37.0,,3.0,,1.0,2.0,3.0,,,2.0,,,1.0,,,,,,2.0,,,,,,
aachen,4.0,,14.0,2.0,2.0,2.0,8.0,1,2.0,13.0,2.0,,5.0,,1,16.0,,1.0,,,,4.0,,,,1.0,,,,,,,,,,,,,,
aachen,,,4.0,,2.0,1.0,2.0,1,1.0,3.0,4.0,,5.0,,1,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
aachen,4.0,,3.0,7.0,1.0,1.0,1.0,1,1.0,14.0,6.0,1.0,4.0,,1,17.0,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,
aachen,6.0,1.0,14.0,15.0,2.0,4.0,4.0,1,1.0,27.0,21.0,1.0,11.0,,1,34.0,,,,,,14.0,,,1.0,4.0,,,,,,,,,,,,,,
aachen,2.0,,7.0,11.0,1.0,3.0,1.0,1,1.0,15.0,22.0,1.0,9.0,4.0,1,18.0,,,,,,,,,,3.0,,,,,,,,,,,,,,
aachen,3.0,,18.0,2.0,1.0,4.0,2.0,1,1.0,23.0,19.0,1.0,10.0,1.0,1,9.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
aachen,1.0,,15.0,1.0,1.0,2.0,5.0,1,1.0,39.0,14.0,1.0,21.0,9.0,1,6.0,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,
aachen,2.0,,14.0,2.0,1.0,2.0,6.0,1,1.0,40.0,20.0,1.0,4.0,2.0,1,7.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
